Environment,Model,Run,Backend,PP,Buffer.Size,N,Mean,SD,CV,P99,Max,Miss,N_Steady,Mean_Steady,SD_Steady,CV_Steady,P99_Steady,Max_Steady,Miss_Steady
Firefox,steerable-nafx,onnxrt-web,js-onnx,wasm,8192,500,0.0035276025390625,0.00010292743889973966,0.0291777312664861,0.003613623046875,0.005703125,0.0,490,0.003523009008290816,3.3185180771581245e-05,0.009419556036753082,0.0035980712890625005,0.0039208984375,0.0
Firefox,steerable-nafx,onnxrt-web-jspp,js-onnx,js,128,500,0.13615,0.006808003286941777,0.050003696562187123,0.14125,0.2828125,1.0,490,0.13583545918367348,0.001786715388203476,0.013153527060909198,0.1411109375,0.1571875,1.0
Firefox,steerable-nafx,onnxrt-web-jspp,js-onnx,js,1024,500,0.0182276953125,0.0008351394692739817,0.045817063263136094,0.01881015625,0.03640625,0.002,490,0.018186902104591837,0.0001774287393385057,0.009755852773502775,0.018678320312500003,0.020078125,0.0
Firefox,steerable-nafx,onnxrt-web-jspp,js-onnx,js,8192,500,0.003529287109375,0.00010734892784230062,0.030416603839666365,0.0036234130859374995,0.0058056640625,0.0,490,0.0035244389748086734,3.3578591304843904e-05,0.009527357841872334,0.0036078369140625003,0.0039111328125,0.0
Native,guitar-lstm,bypass,wasm-bypass,wasm,128,500,0.0010734796875,1.9528949701715225e-05,0.018192193042046008,0.00114534375,0.00122265625,0.0,490,0.0010717330994897958,1.471732681556992e-05,0.013732268624134293,0.0011128437500000001,0.0011375,0.0
Native,guitar-lstm,bypass,wasm-bypass,wasm,1024,500,0.000386879296875,4.260858269106816e-06,0.011013404706645472,0.00040185644531249995,0.000412890625,0.0,490,0.0003865638950892857,3.609263035367155e-06,0.009336782563548812,0.00039590917968749997,0.00040185546875,0.0
Native,guitar-lstm,bypass,wasm-bypass,wasm,8192,500,0.0003283118896484375,5.4320434211758895e-06,0.016545375274080457,0.0003354635009765625,0.0003391845703125,0.0,490,0.00032824552574936224,5.376820789150887e-06,0.01638048462922981,0.0003330889892578125,0.0003348388671875,0.0
Native,guitar-lstm,onnx,wasm-onnx,wasm,128,500,0.0040931984375,0.00029411610413810393,0.07185483641436671,0.0042782343749999995,0.01054921875,0.0,490,0.004076355229591837,4.390628340567647e-05,0.010770965956780166,0.00423940625,0.004278125,0.0
Native,guitar-lstm,onnx,wasm-onnx,wasm,1024,500,0.0032722304687500003,1.5162028115686137e-05,0.004633545302045326,0.0033485390625,0.0033755859375,0.0,490,0.0032707559390943875,1.0512814208964775e-05,0.003214184856567311,0.00331031640625,0.00334853515625,0.0
Native,guitar-lstm,onnx,wasm-onnx,wasm,8192,500,0.003209299365234375,1.1809921308404406e-05,0.003679906410831801,0.0032406346435546875,0.00334595947265625,0.0,490,0.0032085091727120534,9.381872882588582e-06,0.0029240598600683994,0.0032300379638671873,0.0032678955078125,0.0
Native,steerable-nafx,bypass,wasm-bypass,wasm,128,500,0.0010273078124999999,1.2886221123312167e-05,0.012543680644219932,0.0010898671875000001,0.00111484375,0.0,490,0.0010260251913265306,9.119983601233069e-06,0.008888654662993212,0.0010597187500000001,0.00107421875,0.0
Native,steerable-nafx,bypass,wasm-bypass,wasm,1024,500,0.00012803632812499998,1.8193800302221535e-06,0.014209873532501804,0.00013740234375,0.0001396484375,0.0,490,0.0001278386080994898,1.1814284187066158e-06,0.00924156196840922,0.0001318359375,0.00013740234375,0.0
Native,steerable-nafx,bypass,wasm-bypass,wasm,8192,500,1.42869384765625e-05,1.725050800335557e-06,0.12074320913227672,2.7531127929687498e-05,3.01513671875e-05,0.0,490,1.4209407884247449e-05,1.6519819899517752e-06,0.11625973463561157,2.7573852539062507e-05,3.01513671875e-05,0.0
Native,steerable-nafx,onnx,wasm-onnx,wasm,128,500,0.0747391453125,0.0006530152761592953,0.00873725908195634,0.0759970625,0.08725234375,1.0,490,0.07469155931122448,0.00029246877965489744,0.003915687158655233,0.0755145703125,0.077015625,1.0
Native,steerable-nafx,onnx,wasm-onnx,wasm,1024,500,0.0100310302734375,4.116272341174407e-05,0.0041035389476138185,0.010195748046875001,0.0102763671875,0.0,490,0.01002748724489796,3.2751309730729385e-05,0.003266153217735922,0.010115928710937501,0.01025400390625,0.0
Native,steerable-nafx,onnx,wasm-onnx,wasm,8192,500,0.0019572465087890627,7.549746233918372e-06,0.003857330285181787,0.0019898187255859377,0.0020029541015625,0.0,490,0.0019565555743781887,5.729980453794151e-06,0.0029286060303271434,0.001974974853515625,0.002000146484375,0.0
Safari,guitar-lstm,bypass,wasm-bypass,wasm,128,500,0.00122,0.000661492858505447,0.5422072610700386,0.00377187499999998,0.00875,0.0,490,0.0011425382653061224,0.00023233997767280827,0.20335421992239094,0.0018921875000000022,0.00375,0.0
Safari,guitar-lstm,bypass,wasm-bypass,wasm,1024,500,0.0006105078124999999,8.158906274253387e-05,0.13364130822246256,0.0011527343749999997,0.00134765625,0.0,490,0.000601482780612245,3.796458237414354e-05,0.06311831958929842,0.0007248046875000003,0.0009765625,0.0
Safari,guitar-lstm,bypass,wasm-bypass,wasm,8192,500,0.0005163330078125,1.65731863649737e-05,0.03209786342187918,0.0005810546875,0.0006494140625,0.0,490,0.0005150221221301021,1.2645943079183818e-05,0.024554174540854515,0.0005596191406250001,0.00060791015625,0.0
Safari,guitar-lstm,bypass-jspp,wasm-bypass,js,128,500,0.00124875,0.0005118086702860355,0.40985679302185024,0.0031265624999999987,0.00890625,0.0,490,0.001192920918367347,0.00017813982725192897,0.14933079344080438,0.0017359375000000022,0.00359375,0.0
Safari,guitar-lstm,bypass-jspp,wasm-bypass,js,1024,500,0.000810859375,8.834228851792494e-05,0.10894896358314282,0.0011330078124999997,0.001484375,0.0,490,0.0008060028698979592,7.86324900084239e-05,0.09755857323234947,0.00109375,0.00142578125,0.0
