"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"js-onnx","js","128","Safari","steerable-nafx",0.134738579004183,0.00133608752519063,1296.00000000011,0.132142778191301,0.137385371494039
"wasm-onnx","js","128","Safari","steerable-nafx",0.135795778072292,0.00134657086631671,1295.99999999998,0.1331796098322,0.138463338085263
"wasm-bypass","wasm","1024","Safari","steerable-nafx",0.000116548187117954,1.15570892941542e-06,1296.00000000011,0.000114302832587005,0.000118837649190733
"js-bypass","wasm","1024","Safari","steerable-nafx",0.000129954919231587,1.28865205278059e-06,1296.00000000011,0.000127451277828565,0.000132507741940452
"js-onnx","wasm","1024","Safari","steerable-nafx",0.0180765241951253,0.000179249467037675,1296.00000000011,0.0177282716267327,0.0184316178055521
"wasm-onnx","wasm","1024","Safari","steerable-nafx",0.0182826445919531,0.000181293387145223,1296.00000000011,0.0179304210191341,0.018641787212859
"wasm-bypass","js","1024","Safari","steerable-nafx",0.0001208231165636,1.19809975723633e-06,1296.00000000011,0.000118495403546968,0.000123196554964726
"js-bypass","js","1024","Safari","steerable-nafx",0.000128005043885745,1.26931680266505e-06,1296.00000000011,0.000125538967729775,0.000130519563419233
"js-onnx","js","1024","Safari","steerable-nafx",0.0180696787333295,0.00017918158643379,1295.99999999998,0.0177215580459129,0.0184246378721224
"wasm-onnx","js","1024","Safari","steerable-nafx",0.0183015188614651,0.000181480547171912,1295.99999999998,0.0179489316671466,0.0186610322468185
